Date,Timestamp ,Value
24-May,20200524280,25883
24-May,20200524279,25897
24-May,20200524278,25892
24-May,20200524277,25898
24-May,20200524276,25896
24-May,20200524275,25892
24-May,20200524274,25887
24-May,20200524273,25908
24-May,20200524272,25917
24-May,20200524271,25923
24-May,20200524270,25935
24-May,20200524269,25927
24-May,20200524268,25936
24-May,20200524267,25931
24-May,20200524266,25916
24-May,20200524265,25926
24-May,20200524264,25912
24-May,20200524263,25913
24-May,20200524262,25902
24-May,20200524261,25900
24-May,20200524260,25889
24-May,20200524259,25907
24-May,20200524258,25920
24-May,20200524257,25938
24-May,20200524256,25958
24-May,20200524255,25973
24-May,20200524254,25976
24-May,20200524253,25966
24-May,20200524252,25976
24-May,20200524251,25986
24-May,20200524250,25989
24-May,20200524249,25997
24-May,20200524248,25999
24-May,20200524247,25995
24-May,20200524246,25999
24-May,20200524245,25997
24-May,20200524244,26005
24-May,20200524243,26005
24-May,20200524242,26018
24-May,20200524241,26011
24-May,20200524240,26023
24-May,20200524239,26014
24-May,20200524238,25998
24-May,20200524237,26012
24-May,20200524236,26004
24-May,20200524235,25993
24-May,20200524234,25976
24-May,20200524233,25966
24-May,20200524232,25955
24-May,20200524231,25955
24-May,20200524230,25968
24-May,20200524229,25964
24-May,20200524228,25954
24-May,20200524227,25957
24-May,20200524226,25955
24-May,20200524225,25949
24-May,20200524224,25948
24-May,20200524223,25957
24-May,20200524222,25957
24-May,20200524221,25957
24-May,20200524220,25958
24-May,20200524219,25965
24-May,20200524218,25973
24-May,20200524217,25969
24-May,20200524216,25979
24-May,20200524215,25965
24-May,20200524214,25979
24-May,20200524213,25976
24-May,20200524212,25985
24-May,20200524211,25987
24-May,20200524210,25997
24-May,20200524209,26002
24-May,20200524208,25999
24-May,20200524207,26014
24-May,20200524206,26014
24-May,20200524205,26008
24-May,20200524204,26002
24-May,20200524203,26007
24-May,20200524202,26015
24-May,20200524201,26004
24-May,20200524200,26016
24-May,20200524199,26015
24-May,20200524198,26015
24-May,20200524197,26009
24-May,20200524196,26016
24-May,20200524195,26022
24-May,20200524194,26024
24-May,20200524193,26035
24-May,20200524192,26023
24-May,20200524191,26025
24-May,20200524190,26025
24-May,20200524189,26020
24-May,20200524188,26015
24-May,20200524187,26021
24-May,20200524186,26038
24-May,20200524185,26041
24-May,20200524184,26038
24-May,20200524183,26035
24-May,20200524182,26033
24-May,20200524181,26031
24-May,20200524180,26029
24-May,20200524179,26016
24-May,20200524178,26013
24-May,20200524177,26027
24-May,20200524176,26022
24-May,20200524175,26028
24-May,20200524174,26015
24-May,20200524173,26014
24-May,20200524172,26012
24-May,20200524171,26006
24-May,20200524170,26026
24-May,20200524169,26040
24-May,20200524168,26035
24-May,20200524167,26039
24-May,20200524166,26038
24-May,20200524165,26020
24-May,20200524164,26028
24-May,20200524163,26014
